t,F,D,P1,P2,T
117.29,0.00198,-0.012,100.0,0.0,17.91
117.446,0.00198,-0.012,100.0,0.0,17.91
117.593,0.00198,-0.006,100.0,0.0,17.88
117.742,-0.00784,-0.003,100.0,0.0,17.88
117.891,-0.00784,-0.003,100.0,0.0,17.86
118.04,-0.00784,0.0,100.0,0.0,17.86
118.188,-0.00787,0.006,100.0,0.0,17.85
118.337,-0.00787,0.009,100.0,0.0,17.85
118.484,-0.00787,0.009,100.0,0.0,17.87
118.633,-0.00283,0.012,100.0,0.0,17.87
118.78,-0.00283,0.016,100.0,0.0,17.89
118.929,-0.00283,0.016,100.0,0.0,17.89
119.076,-0.00141,0.022,100.0,0.0,17.87
119.225,-0.00141,0.025,100.0,0.0,17.87
119.373,-0.00141,0.028,100.0,0.0,17.87
119.521,-0.00141,0.028,100.0,0.0,17.89
119.668,-0.00141,0.034,100.0,0.0,17.89
119.817,-0.00141,0.038,100.0,0.0,17.87
119.965,-0.00435,0.041,100.0,0.0,17.87
120.114,-0.00435,0.041,100.0,0.0,17.77
120.261,-0.00435,0.044,100.0,0.0,17.77
120.408,-0.00435,0.05,100.0,0.0,17.85
120.557,-0.00435,0.05,100.0,0.0,17.85
120.704,-0.00446,0.053,100.0,0.0,17.87
120.853,-0.00446,0.056,100.0,0.0,17.87
121.001,-0.00446,0.063,100.0,0.0,17.81
121.149,-0.00446,0.063,100.0,0.0,17.81
121.296,-0.00446,0.066,100.0,0.0,17.8
121.445,-0.00446,0.069,100.0,0.0,17.8
121.593,-0.00446,0.072,100.0,0.0,17.83
121.75,-0.00446,0.072,100.0,0.0,17.83
121.897,-0.00446,0.078,100.0,0.0,17.86
122.046,-0.00324,0.081,100.0,0.0,17.86
122.194,-0.00324,0.081,100.0,0.0,17.84
122.342,-0.00324,0.084,100.0,0.0,17.84
122.489,-0.01075,0.091,100.0,0.0,17.87
122.638,-0.01075,0.094,100.0,0.0,17.87
122.786,-0.01075,0.094,100.0,0.0,17.81
122.934,-0.00205,0.097,100.0,0.0,17.81
123.082,-0.00205,0.1,100.0,0.0,17.8
123.231,-0.00205,0.106,100.0,0.0,17.8
123.388,-0.00393,0.106,100.0,0.0,17.83
123.537,-0.00393,0.109,100.0,0.0,17.83
123.684,-0.00393,0.112,100.0,0.0,17.86
123.833,-0.00393,0.112,100.0,0.0,17.86
123.98,-0.00393,0.119,100.0,0.0,17.92
124.128,-0.00214,0.122,100.0,0.0,17.92
124.276,-0.00214,0.125,100.0,0.0,17.85
124.425,-0.00214,0.125,100.0,0.0,17.85
124.572,-0.00214,0.128,100.0,0.0,17.84
124.721,-0.00214,0.134,100.0,0.0,17.84
124.868,-0.00214,0.137,100.0,0.0,17.86
125.027,-0.00264,0.137,100.0,0.0,17.86
125.174,-0.00264,0.141,100.0,0.0,17.88
125.323,-0.00264,0.147,100.0,0.0,17.88
125.47,-0.00264,0.147,100.0,0.0,17.9
125.619,-0.00264,0.15,100.0,0.0,17.9
125.766,-0.00264,0.153,100.0,0.0,17.92
125.914,-0.00264,0.156,100.0,0.0,17.92
126.062,-0.00264,0.156,100.0,0.0,17.97
126.21,-0.00264,0.162,100.0,0.0,17.97
126.358,0.0141,0.166,100.0,0.0,17.86
126.505,0.0141,0.166,100.0,0.0,17.86
126.652,0.0141,0.169,100.0,0.0,17.84
126.799,0.0885,0.175,100.0,0.0,17.84
126.947,0.0885,0.178,100.0,0.0,17.83
127.093,0.12206,0.178,100.0,0.0,17.83
127.248,0.12206,0.181,100.0,0.0,17.82
127.394,0.12206,0.184,100.0,0.0,17.82
127.542,0.15314,0.191,100.0,0.0,17.88
127.689,0.15314,0.191,100.0,0.0,17.88
127.836,0.15314,0.194,100.0,0.0,17.9
127.982,0.15314,0.197,100.0,0.0,17.9
128.129,0.15314,0.197,100.0,0.0,17.91
128.276,0.15314,0.203,100.0,0.0,17.91
128.423,0.20472,0.206,100.0,0.0,17.89
128.571,0.20472,0.209,100.0,0.0,17.89
128.717,0.20472,0.209,100.0,0.0,17.94
128.864,0.20472,0.213,100.0,0.0,17.94
129.011,0.20472,0.219,100.0,0.0,17.94
129.157,0.20472,0.219,100.0,0.0,17.95
129.305,0.1999,0.222,100.0,0.0,17.95
129.451,0.1999,0.225,100.0,0.0,17.92
129.599,0.1999,0.231,100.0,0.0,17.92
129.746,0.1999,0.231,100.0,0.0,17.9
129.893,0.1999,0.234,100.0,0.0,17.9
130.039,0.1999,0.237,100.0,0.0,17.95
130.187,0.1999,0.237,100.0,0.0,17.95
130.333,0.1999,0.241,100.0,0.0,17.96
130.481,0.1999,0.247,100.0,0.0,17.96
130.627,0.19565,0.25,100.0,0.0,17.96
130.774,0.19565,0.25,100.0,0.0,17.96
130.921,0.19565,0.253,100.0,0.0,17.97
131.068,0.18925,0.259,100.0,0.0,17.97
131.216,0.18925,0.259,100.0,0.0,17.97
131.362,0.1953,0.262,100.0,0.0,17.97
131.517,0.1953,0.266,100.0,0.0,17.9
131.664,0.1953,0.269,100.0,0.0,17.9
131.811,0.1953,0.269,100.0,0.0,17.88
131.957,0.1953,0.275,100.0,0.0,17.88
132.105,0.1953,0.278,100.0,0.0,17.9
132.252,0.12469,0.281,100.0,0.0,17.9
132.398,0.12469,0.281,100.0,0.0,17.91
132.546,0.12469,0.287,100.0,0.0,17.91
132.692,0.12469,0.291,100.0,0.0,17.96
132.84,0.12469,0.291,100.0,0.0,17.96
132.986,0.12469,0.294,100.0,0.0,17.97
133.133,-0.00387,0.297,100.0,0.0,17.97
