t,F,D,P1,P2,T
303.307,0.09875,0.0,100.0,119.0,26.7
303.407,0.10497,0.0,100.0,119.0,26.7
303.507,0.10198,0.001,100.0,120.0,26.7
303.607,0.09955,0.003,100.0,119.0,26.7
303.707,0.099,0.004,100.0,119.0,26.7
303.807,0.10484,0.006,100.0,119.0,26.7
303.907,0.1084,0.008,100.0,119.0,26.71
304.007,0.10439,0.01,100.0,119.0,26.71
304.107,0.09576,0.012,100.0,119.0,26.71
304.207,0.10689,0.013,100.0,119.0,26.72
304.307,0.1121,0.015,100.0,119.0,26.72
304.407,0.10876,0.017,100.0,119.0,26.72
304.507,0.11053,0.019,100.0,119.0,26.72
304.607,0.10796,0.02,100.0,119.0,26.72
304.707,0.10843,0.022,100.0,119.0,26.72
304.807,0.11119,0.024,100.0,119.0,26.73
304.907,0.11036,0.026,100.0,119.0,26.73
305.007,0.10757,0.027,100.0,119.0,26.73
305.107,0.11175,0.029,100.0,119.0,26.77
305.207,0.108,0.031,100.0,120.0,26.77
305.307,0.1022,0.033,100.0,119.0,26.77
305.407,0.1068,0.034,100.0,119.0,26.76
305.507,0.1128,0.036,100.0,120.0,26.76
305.607,0.10624,0.038,100.0,120.0,26.76
305.707,0.10916,0.04,100.0,119.0,26.76
305.807,0.10664,0.042,100.0,120.0,26.76
305.907,0.10292,0.043,100.0,119.0,26.76
306.007,0.10643,0.045,100.0,119.0,26.76
306.106,0.11472,0.047,100.0,119.0,26.76
306.207,0.11301,0.049,100.0,120.0,26.76
306.307,0.11576,0.05,100.0,120.0,26.76
306.407,0.10762,0.052,100.0,119.0,26.76
306.507,0.10964,0.054,100.0,120.0,26.76
306.607,0.11449,0.056,100.0,119.0,26.76
306.707,0.11311,0.058,100.0,120.0,26.76
306.807,0.10573,0.059,100.0,119.0,26.76
306.907,0.10604,0.061,100.0,119.0,26.72
307.007,0.10807,0.063,100.0,119.0,26.72
307.107,0.11062,0.065,100.0,119.0,26.72
307.207,0.11727,0.066,100.0,119.0,26.8
307.307,0.11323,0.068,100.0,119.0,26.8
307.407,0.11131,0.07,100.0,119.0,26.8
